customer_id,name,email,country,first_name,last_name,buyer_category
1,Wayne Joseph,carolphillips@example.net,Bermuda,Wayne,Joseph,Rare Buyer
2,Dawn Mclaughlin,aimeepacheco@example.com,Vanuatu,Dawn,Mclaughlin,Rare Buyer
3,Beth Sanders,jeffreywilson@example.com,United Arab Emirates,Beth,Sanders,Rare Buyer
4,Barbara Cameron,chendavid@example.net,Sudan,Barbara,Cameron,Rare Buyer
5,James Hoffman,john59@example.com,,James,Hoffman,Rare Buyer
6,Adam Sutton,jeremy49@example.net,Chile,Adam,Sutton,Rare Buyer
7,Nicole Nelson,harrismichael@example.com,Guatemala,Nicole,Nelson,Rare Buyer
8,Melissa Johnson,shannoncampbell@example.net,Mexico,Melissa,Johnson,Rare Buyer
9,Alyssa Schmidt,williamsbrittany@example.net,Timor-Leste,Alyssa,Schmidt,Rare Buyer
10,Amy Williams,dawn45@example.net,Somalia,Amy,Williams,Rare Buyer
11,Richard Torres,rhorn@example.org,Pakistan,Richard,Torres,Rare Buyer
12,Brittany Stone,georgeshaffer@example.com,,Brittany,Stone,Rare Buyer
13,Shirley Cochran,patrickharrison@example.org,,Shirley,Cochran,Rare Buyer
14,Angela Blackwell,kedwards@example.net,,Angela,Blackwell,Rare Buyer
15,Luis Gaines,natalietaylor@example.com,Philippines,Luis,Gaines,Rare Buyer
16,Christina Hess,lindseyalvarez@example.com,Lao People's Democratic Republic,Christina,Hess,Rare Buyer
17,Bryan Gray,claytonryan@example.com,Portugal,Bryan,Gray,Rare Buyer
18,Anthony Powers,ntodd@example.net,Norfolk Island,Anthony,Powers,Rare Buyer
19,Doris Graham,spearsdan@example.net,Bosnia and Herzegovina,Doris,Graham,Occasional Buyer
20,Jennifer Moore,andrea33@example.org,Vanuatu,Jennifer,Moore,Rare Buyer
21,Christopher Powell,fwarren@example.com,South Africa,Christopher,Powell,Rare Buyer
22,Paul Moreno,fharris@example.org,French Guiana,Paul,Moreno,Rare Buyer
23,Denise Ruiz,jerryclark@example.com,Tanzania,Denise,Ruiz,Rare Buyer
24,Matthew Warren,pbautista@example.com,,Matthew,Warren,Occasional Buyer
25,Anthony Smith,gonzalezchristopher@example.net,Marshall Islands,Anthony,Smith,Rare Buyer
